Name,YoB,pct,Year,method
Catfish Hunter,3,76.27,1987,bbwaa
Ryne Sandberg,3,76.16,2005,bbwaa
Fergie Jenkins,3,75.4,1991,bbwaa
Joe DiMaggio,4,88.84,1955,bbwaa
Robin Roberts,4,86.86,1976,bbwaa
George Sisler,4,85.77,1939,bbwaa
Harmon Killebrew,4,83.13,1984,bbwaa
Mike Piazza,4,82.95,2016,bbwaa
Eddie Collins,4,77.74,1939,bbwaa
Lefty Grove,4,76.4,1947,bbwaa
Early Wynn,4,76.01,1972,bbwaa
Willie Keeler,4,75.55,1939,bbwaa
Don Sutton,5,81.61,1998,bbwaa
Phil Niekro,5,80.34,1997,bbwaa
Eddie Mathews,5,79.42,1978,bbwaa
Roy Campanella,5,79.41,1969,bbwaa
Rogers Hornsby,5,78.11,1942,bbwaa
Billy Williams,6,85.71,1987,bbwaa
Luis Aparicio,6,84.62,1984,bbwaa
Frankie Frisch,6,84.47,1947,bbwaa
Paul Waner,6,83.33,1952,bbwaa
Mickey Cochrane,6,79.5,1947,bbwaa
Gary Carter,6,78.02,2003,bbwaa
Mike Mussina,6,76.71,2019,bbwaa
Jeff Bagwell,7,86.2,2017,bbwaa
Jimmie Foxx,7,79.2,1951,bbwaa
Hoyt Wilhelm,8,83.8,1985,bbwaa
Herb Pennock,8,77.69,1948,bbwaa
Pie Traynor,8,76.86,1948,bbwaa
Rich Gossage,9,85.82,2008,bbwaa
Hank Greenberg,9,84.97,1956,bbwaa
Joe Medwick,9,84.81,1968,bbwaa
Bill Dickey,9,80.16,1954,bbwaa
Dizzy Dean,9,79.17,1953,bbwaa
Andre Dawson,9,77.92,2010,bbwaa
Tony Perez,9,77.15,2000,bbwaa
Al Simmons,9,75.38,1953,bbwaa
Ted Lyons,10,86.45,1955,bbwaa
Tim Raines,10,85.97,2017,bbwaa
Edgar Martinez,10,85.41,2019,bbwaa
Joe Cronin,10,78.76,1956,bbwaa
Don Drysdale,10,78.41,1984,bbwaa
Lou Boudreau,10,77.33,1970,bbwaa
Larry Walker,10,76.57,2020,bbwaa
Duke Snider,11,86.49,1980,bbwaa
Harry Heilmann,12,86.75,1952,bbwaa
Bob Lemon,12,78.61,1976,bbwaa
Gabby Hartnett,12,77.69,1955,bbwaa
Bruce Sutter,13,76.92,2006,bbwaa
Ralph Kiner,13,75.41,1975,bbwaa
Rabbit Maranville,14,82.94,1954,bbwaa
Bert Blyleven,14,79.69,2011,bbwaa
Bill Terry,14,77.38,1954,bbwaa
Jim Rice,15,76.44,2009,bbwaa
Dazzy Vance,16,81.67,1955,bbwaa
Jack Morris,,,2018,vet
Lee Smith,,,2019,vet
Alan Trammell,,,2018,vet
Harold Baines,,,2019,vet
Ron Santo,,,2012,vet
Orlando Cepeda,,,1999,vet
Ted Simmons,,,2020,vet
Bill Mazeroski,,,2001,vet
Jim Bunning,,,1996,vet
Nellie Fox,,,1997,vet
Red Schoendienst,,,1989,vet
Richie Ashburn,,,1995,vet
Enos Slaughter,,,1985,vet
Pee Wee Reese,,,1984,vet
George Kell,,,1983,vet
Phil Rizzuto,,,1994,vet
Hal Newhouser,,,1992,vet
Johnny Mize,,,1981,vet
Bobby Doerr,,,1986,vet
Joe Gordon,,,2009,vet
Arky Vaughan,,,1985,vet
Billy Herman,,,1975,vet
Ernie Lombardi,,,1986,vet
Larry Doby,,,1998,vet
Chuck Klein,,,1980,vet
Lloyd Waner,,,1967,vet
Sam Rice,,,1963,vet
Eppa Rixey,,,1963,vet
Burleigh Grimes,,,1964,vet
Hack Wilson,,,1979,vet
Kiki Cuyler,,,1968,vet
Red Faber,,,1964,vet
Lefty Gomez,,,1972,vet
Jim Bottomley,,,1974,vet
Waite Hoyt,,,1969,vet
Heinie Manush,,,1964,vet
Goose Goslin,,,1968,vet
Tony Lazzeri,,,1991,vet
Freddie Lindstrom,,,1976,vet
Chick Hafey,,,1971,vet
Earle Combs,,,1970,vet
Earl Averill,,,1975,vet
Jesse Haines,,,1970,vet
Travis Jackson,,,1982,vet
Edd Roush,,,1962,vet
Dave Bancroft,,,1971,vet
Joe Sewell,,,1977,vet
Addie Joss,,,1978,vet
Rick Ferrell,,,1984,vet
Max Carey,,,1961,vet
Stan Coveleski,,,1969,vet
Zack Wheat,,,1959,vet
Ross Youngs,,,1972,vet
Ray Schalk,,,1955,vet
Rube Marquard,,,1971,vet
Chief Bender,,,1953,vet
Harry Hooper,,,1971,vet
Frank Chance,,,1946,vet
Johnny Evers,,,1946,vet
Rube Waddell,,,1946,vet
Ed Walsh,,,1946,vet
Mordecai Brown,,,1949,vet
Joe Tinker,,,1946,vet
Joe McGinnity,,,1946,vet
Eddie Plank,,,1946,vet
Sam Crawford,,,1957,vet
Jesse Burkett,,,1946,vet
Jack Chesbro,,,1946,vet
John Clarkson,,,1963,vet
Kid Nichols,,,1949,vet
Roger Bresnahan,,,1945,vet
Jimmy Collins,,,1945,vet
Ed Delahanty,,,1945,vet
Hughie Jennings,,,1945,vet
Hugh Duffy,,,1945,vet
Fred Clarke,,,1945,vet
Bobby Wallace,,,1953,vet
Amos Rusie,,,1977,vet
Joe Kelley,,,1971,vet
Billy Hamilton,,,1961,vet
Jake Beckley,,,1971,vet
Buck Ewing,,,1939,vet
Elmer Flick,,,1963,vet
